files_repo_name,version
hmlb/ddd-bundle,"""php"":""~7"
Kofel/whois,"""php"":""^7"
insolo-r/banklink,"""php"":"">=7"
miguelcleverti/ezpublish-kernel,"""php"":""~5.5|~7"
bearframework/bearframework,"""php"":"">=7"
tonicforhealth/dukpt,"""php"":""^5.5||^7"
JKetelaar/PHP-FUT-API,"""php"":""^5.5||^7"
egeloen/ivory-http-adapter,"""php"":""^5.4.8|^7"
jitesoft/AssetHandler,"""php"":"">=7"
dqtien/company,"""php"":""7"
Symplify/MultiCodingStandard,"""php"":""^7"
Laurohrsantos/php-7,"""php"":""^5.5||^7"
soyuka/core,"""php"":"">=7"
dial-once/dialonce-sdk-php,"""php"":""^5.3.0||^7"
hollodotme/identity-and-access,"		""php"":"">=7"
lookyman/nette-oauth2-server-doctrine,"""php"":"">=7"
webelightdev/laravel-push-notification,"""php"":""^7"
hanguangchao/php,"""php"":"">=7"
jcc/blog,"""php"":"">=7"
rkulik/view,"""php"":""^7"
geosocio/core,"""php"":""^7"
ose1955/rabbitmq-client,"""php"":"">=7"
mmucklo/krumo,"""php"":"">=5.2.17"
MNHcC/Zend3bcHelper,"""php"":""^5.6||^7"
php-api-clients/hydrator,"""php"":""^7"
basselin/zf2-new-recaptcha,"""php"":""^5.6||^7"
cangyan/redis-client-plus,"""php"":""^5.6|^7"
opsway/zohobooks-api,"""php"":""^5.6|^7"
yii2mod/yii2-cart,"""php"":"">=7"
ivanrosolen/hsapi,"""php"":""~5.5|~7"
phpvalueobjects/identity,"""php"":"">=7"
GrowthOptimized/Optimizely-X-SDK,"""php"":"">=7"
chadicus/marvel-api-client,"""php"":""^5.6||^7"
nabeelio/phpvms,"""php"":"">=7"
kegi/php-error-handler,"""php"":"">=7"
sanmai/pipeline,"""php"":"">=7"
ferrl/framework,"""php"":""^5.6||^7"
bdunogier/ezpublish-pipeline,"""php"":"">=5.3.17"
mathieu-bourlet/reassurance,"""php"":""^5.6||^7"
mkosolofski/houseseats-monitor,"""php"":"">=7"
yapro/helpers,"""php"":"">=7"
ezpublishlegacy/ezpublish-spi,"""php"":""~5.6|~7"
DOMjudge/domjudge,"		""php"":"">=7"
api-php/boilerplate,"""php"":""^7"
mmoreram/translation-server,"""php"":"">=7"
bwaidelich/flow-development-collection,"""php"":""~7"
sustmi/pdepend,"""php"":"">=5.3.7"
fredcollet/Sylius,"""php"":""^5.5.9|^7"
andrey-helldar/DigitText,"""php"":"">=7"
